name,mac
UCU-MBOGO-HOSTEL,20:ce:2a:a2:01:a9
LIBRARY,20:ce:2a:a2:02:87
WORKSHOP-MESH,20:ce:2a:a2:02:68
ANKRAH-GATEWAY_EXECUTIVE,20:ce:2a:a2:02:7f
MeshPP_20:CE:2A:A1:03:01,20:ce:2a:a1:03:01
ENGINEERING,20:ce:2a:a2:01:f6
MUK-MISH-1,20:ce:2a:a1:03:c4
MeshPP_20:CE:2A:A2:02:76,20:ce:2a:a2:02:76
SCHOOL-OF-LAW,20:ce:2a:a2:02:64
CLASSROOM-BEHIND,20:ce:2a:a1:02:ff
MUK-ELEMENTARY-FRONT,20:ce:2a:a2:01:fc
GU-ZION-HOSTEL,20:ce:2a:a2:02:6a
GU-OCWEE-HOSTEL,20:ce:2a:a2:01:e2
EQUATORLINE-RESTAURANT,20:ce:2a:a2:02:8c
Kajansi-Mall,20:ce:2a:a2:01:2d
Girls-Wing,20:ce:2a:a2:02:ba
ADMIN,20:ce:2a:a2:02:a9
LEGENDS,20:ce:2a:a2:01:f7
CONVET,20:ce:2a:a2:01:56
HUMAN-RESOURCE,20:ce:2a:a1:03:07
ADMIN,20:ce:2a:a1:03:65
BUS-SKYBLUE-HOSTEL,20:ce:2a:a1:03:61
BUS-MAMIIKI-HOSTEL,20:ce:2a:a1:02:eb
BUS-ZALANE,20:ce:2a:a1:03:5e
READING-COMPOUND-REPEATER,20:ce:2a:a1:02:e7
MeshPP_20:CE:2A:00:00:00,20:ce:2a:00:00:00
GATEWAY-NODE,20:ce:2a:a2:02:77
MUBS-ANNEX,20:ce:2a:a2:02:32
MUBS-DINNING-HALL,20:ce:2a:a2:02:cf
NEW-BUILDING,20:ce:2a:a2:01:4c
SITTING-AREA,20:ce:2a:a1:02:72
MeshPP_20:CE:2A:A2:02:60,20:ce:2a:a2:02:60
MeshPP_20:CE:2A:A2:02:26,20:ce:2a:a2:02:26
BSU-WHITE-HOUSE,20:ce:2a:a2:02:e1
MAIN-HALL,20:ce:2a:a1:00:e4
UMI-1st-Mesh++,20:ce:2a:a1:00:b6
UMU-2,20:ce:2a:a2:01:af
NDU-SOPHIS-HOSTEL-1,20:ce:2a:a1:00:91
MUK-JULIANE-2,20:ce:2a:a2:01:6e
MUST-KIHUMURO-GIRLS-FRONT,20:ce:2a:a1:00:b5
MUST-KIHUMURO-GIRLS-BEHIND,20:ce:2a:a1:00:b4
MOTHER-KEVIN,20:ce:2a:a2:01:f5
LU-MILLENIUM-HOSTEL,20:ce:2a:a2:01:0f
POE_20:CE:2A:A2:01:E6,20:ce:2a:a2:01:e6
GATEWAY,20:ce:2a:a1:02:d1
EDUCATION-BLOCK,20:ce:2a:a2:02:55
IGANGA-GIRLS-OLD,20:ce:2a:a1:00:57
Complex,20:ce:2a:a2:01:c3
UCU-MAXINE,20:ce:2a:a2:02:a3
UNIK-HOSTEL,20:ce:2a:a2:02:7c
GUILD-CANTEEN,20:ce:2a:a2:02:83
IU-FEMALE-BEHIND,20:ce:2a:a2:02:57
IU-JESSY-MAYANJA,20:ce:2a:a1:03:08
DOUGLAS-VILLA-FRONT,20:ce:2a:a2:02:86
IU-FEMALE-INSIDE,20:ce:2a:a1:03:29
COMPUTER-LAB,20:ce:2a:a1:03:26
PHYSICS LAB,20:ce:2a:a1:02:f5
FAR-END-FSNR,20:ce:2a:a2:02:6e
IU-FEMALE-FRONT,20:ce:2a:a2:02:63
